method,catboost,lightgbm,mlp,random_forest,xgboost
ablation_full,0.4830594961510969,0.5328213306644727,0.45279178270359743,0.4829354370354202,0.4943180991515936
ablation_no_child,0.3964393741168884,0.5282542547752278,0.4855108219966394,0.5372977712408563,0.5120604569995634
ablation_no_entropy_anneal,0.49684511166747153,0.5073118199150611,0.4384260231205209,0.5264294979510663,0.4683745850652798
ablation_no_gain,0.5153408373924846,0.5139614526462387,0.46684355262848154,0.5052093607181942,0.5075236378877567
ablation_no_hist,0.5394370230281683,0.5319996140505407,0.513947080796302,0.6267583482820677,0.4889748477240728
ablation_no_margin,0.397096646588657,0.4413204230548261,0.49172955222024584,0.5113284122912658,0.41929079593498153
ablation_no_marginal,0.4276836437435061,0.4628356142170908,0.47577226096650077,0.5533744708493105,0.45955660090164974
ablation_no_newton,0.5205518921276511,0.5723418952169327,0.5628086179239125,0.5814156062979361,0.5369194894997518
ablation_no_pairwise,0.5868888007097597,0.6242028361015053,0.5151240545808539,0.5382891570992177,0.5527388439794925
distribution_matching,0.6642906821634403,0.6651348539427312,0.6253628798137333,0.7325857350598083,0.7256449818175514
full_data,0.8382905172507207,0.8220929515989865,0.7358673426966965,0.8338548217279734,0.8292154144647168
gain_herding,0.7030822315485197,0.7020070693886693,0.6643472822948071,0.7849432721822296,0.7830835890454216
gain_path_diverse,0.8284739282565864,0.8349462314751417,0.6669780447174536,0.8830737388906504,0.8717758900721715
gain_path_dual,0.8441183933359402,0.8444195478181622,0.6525807504230322,0.8912812195970055,0.8820285038498747
gain_path_herding,0.7032480319580366,0.7026866258975939,0.660334266229332,0.7859085661949798,0.7847227904929232
gain_path_prior_weighted,0.8542055640128251,0.8542363340807682,0.6533561562691053,0.8852615788571262,0.8732479934363853
gain_path_refined,0.7527869417657235,0.7533008826523767,0.6604242671661971,0.7912736498450464,0.7966288134885745
gain_path_refined_weighted,0.8771579093945933,0.8821240352356415,0.5946610138696532,0.889211953366571,0.8901936396546296
gain_path_safeguarded,0.7533740967943378,0.7536898068984439,0.6564147958550339,0.7909022877709198,0.7976972666355725
gain_weighted_coreset,0.7005337398317771,0.6974944852888059,0.6297546499302868,0.7817093349033729,0.7828444396418283
gaindistill,0.5050083198766058,0.5042361324727835,0.48325709736699,0.5201495927380873,0.5045924022004534
gaindistill_anchor,0.823388382291773,0.8229418499515297,0.6299191994043537,0.8678709598988427,0.8707263265947317
gaindistill_full,0.8222003053874762,0.8214846809796129,0.6139523491227196,0.8642398759762187,0.871013542432065
gaindistill_hybrid,0.7005337398317771,0.6974944852888059,0.6297546499302868,0.7817093349033729,0.7828444396418283
gaindistill_path_hybrid,0.7014635058868459,0.698213525458753,0.644679657833974,0.7819150396359373,0.7813261220271992
gradient_sampling,0.4268773024844714,0.42413573333809534,0.4321143588023729,0.3695108008029395,0.36895315078798496
herding,0.6855586714317288,0.6893782043567309,0.6715356068323224,0.7706445663942106,0.7666328921910502
k_center,0.6648934356069365,0.6657991173998504,0.6267437368211322,0.7331988362109576,0.7260795469686361
math_full,0.8794067298502034,0.877926096468588,0.6271051006645677,0.8926170548269536,0.8951297185421669
math_no_anchor,0.8792135367533338,0.8775893354171678,0.6376086472554567,0.891859914926203,0.8987428847475462
math_no_hist,0.8779171507511749,0.8777451413176831,0.6391426604624737,0.8925695232159475,0.8982724320923081
math_no_newton,0.8792294551447208,0.8752101998956585,0.6486654331128687,0.8912217783069167,0.8978126823294139
