method,n_cells,datasets,budgets,seeds,learners,auroc_mean,expected_cells,complete,method_label
full_data,240,8,2,3,5,0.8704131840587491,240,True,Full data
gain_path_refined,240,8,2,3,5,0.8349517973620346,240,True,Gain-path refined
gain_path_safeguarded,240,8,2,3,5,0.8336168961340494,240,True,Gain-path safeguarded
gain_herding,240,8,2,3,5,0.8289552141627335,240,True,Gain sketch
gain_path_herding,240,8,2,3,5,0.8288591478631392,240,True,Gain-path sketch
gain_path_prior_weighted,240,8,2,3,5,0.824061525331242,240,True,Gain-path prior weighted
herding,240,8,2,3,5,0.8145560778921307,240,True,Herding
random,240,8,2,3,5,0.8026788175371329,240,True,Random
distribution_matching,240,8,2,3,5,0.7938717735926898,240,True,Distribution matching
k_center,240,8,2,3,5,0.7509901324433211,240,True,K-center
gaindistill,240,8,2,3,5,0.5133116335160632,240,True,Root-only synthetic
